sveitarfelag,ar,hluti,heildarskuldir,eignir,tekjur,skatttekjur_an_jofnundarsjóðs,framlag_jofnunarsjods,gjold,afskriftir,fjarmagnslidir,oreglulegir_lidir,rekstrarnidurstada,breyting_lifeyrisskuldbindinga,afborganir_langtimalana,adrar_fjarmognunarhreyfingar,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,handbaert_fe,skammtimaskuldir,fjarfestingarhreyfingar,nyjar_langtimaskuldir,launagjold,veltufe,mannfjoldi,eiginfjarhlutfall,framlegd,framlegd_hlutf,handbaert_fe_per_ibui,hlutf_jofnunarsjods_skottum,jofnunarsjodur_a_ibua,launagjold_per_ibui,launagjold_hlutf_gjold,utgjold_jofnunarsjod,netto_jofnunarsjod,netto_jofnunarsjod_per_ibui,nettoskuldir,nettoskuldir_hlutf_tekjur,rekstrarnidurstada_hlutf,rekstur_3_ar,tekjur_3_ar,rekstur_3_ar_hlutf_tekjur,skattur_a_ibua,skuldahlutfall,skuldir_hlutf_tekjur,skuldir_per_ibui,timi_borga_skuldir,veltufe_hlutf_tekjur,veltufjarhlutfall,cpi,hlutf_jofnunarsjod_utgjold,skuldaaukning_2021,skuldaaukning,rekstrarnidurstada_kjortimabil,tekjur_kjortimabil,rekstrarnidurstada_hlutf_kjortimabil,rekstrarnidurstada_per_ibui_kjortimabil
Akraneskaupstaður,2002,A-hluti,2019778000,4835151000,1564050000,1189616000,133846000,1564466000,79922000,88686000,0,88270000,66317000,-121982000,23284000,2815373000,273168000,1728000,77114000,358267000,-134678000,82820000,903735000,194708000,5510,0.5822719910919018,79506000,0.05083341325405198,13995.281306715064,0.10113323994190992,24291.47005444646,164017.24137931035,0.5776635606015088,27527280,106318720,19295.59346642468,1748338000,1.1178274351842972,0.0564368146798376,20394000.00000003,1958292000,0.010414177252422024,215901.27041742287,0.41772800890809825,1.2913768741408522,366565.88021778583,8.979281796330916,0.12448962629071961,0.7624704480178192,0.4123239581617526,0.003918145954127072,NA,0.3360947159105091,2158792099.9999995,29176945500,0.0739896539204215,288791.96013511246
Akraneskaupstaður,2002,A og B-hluti,2113973000,5327642000,1686771000,1186520000,133846000,1704981000,137307000,74672000,0,56462000,69875000,-126393000,-38000,3213669000,269970000,0,78336000,352092000,-166579000,82820000,942959000,227843000,5510,0.6032066343797124,119097000,0.07060650200886782,14217.059891107077,0.10137037760742097,24291.47005444646,171135.93466424683,0.5530612951112065,29687169.6,104158830.4,18903.598983666063,1844003000,1.093214787306635,0.03347342348190715,110794000.00000001,3447942000,0.032133371152995034,215339.3829401089,0.39679336562028755,1.253266151718283,383661.16152450093,8.093305477894866,0.1350764270905772,0.7667598241368733,0.4123239581617526,0.004225577807096241,NA,0.32437780848750447,2193158700,33265802700,0.06592832644919162,293389.34483796527
Akureyrarbær,2002,A-hluti,6507833000,11252361000,5374957000,3340434000,425569000,5644776000,232752000,209288000,0,-60531000,421400000,-91851000,632584000,4744527000,1156389000,275615000,61620000,1521952000,-1141146000,150000000,3115193000,528262000,15947,0.4216472436318031,-37067000,-0.00689624121644136,3864.049664513702,0.11300283085276353,26686.46140339876,195346.64827240232,0.5518718546138943,94599243.2,330969756.8,20754.35861290525,5627059000,1.0469030728990019,-0.011261671488720747,1025110000.0000021,23016009300,0.044538998339733994,209470.99767981438,0.5783527563681969,1.2107693140614892,408091.3651470496,10.652023049168784,0.09828208858229005,0.7598064853556485,0.4123239581617526,0.013464957017459152,NA,0.2611714667586168,-1632028000,82435771000,-0.01979757064442328,-85945.96871873189
Akureyrarbær,2002,A og B-hluti,11032465000,18032148000,7762008000,3319285000,425569000,8006326000,880330000,215213000,0,-29105000,511847000,-476057000,348435000,6999680000,1834671000,0,735067000,1739877000,-1538865000,573141000,4093561000,1105275000,15947,0.3881778255147418,636012000,0.08193910647863285,46094.37511757697,0.11364101244000434,26686.46140339876,256697.87420831504,0.5112908217826754,136611340.8,288957659.2,18119.87578854957,9197794000,1.1849761041215108,-0.0037496740534150442,488753000.0000012,22561418100,0.021663221603964743,208144.79212391045,0.6118221744852582,1.421341616756901,691820.7186304635,8.321724457714144,0.14239549869054502,1.0544831617407437,0.4123239581617526,0.019444826086827127,NA,0.30529180787062904,-18265000,108835648000,-1.6782185189911307e-4,-961.8726631207542
Árneshreppur,2002,A-hluti,1793000,61558000,24113000,10490000,8129000,23717000,1097000,2306000,0,2702000,0,-464000,1025000,59764000,36179000,5366000,28611000,1552000,NA,NA,10276000,3825000,59,0.9708567529809286,1493000,0.061916808360635345,484932.2033898305,0.4365970245448198,137779.66101694916,174169.49152542374,0.43327570940675464,424388.80000000005,7704611.2,130586.63050847458,-29020000,-1.2035001866213246,0.11205573756894621,1073342000,50786311000,0.02113447460281177,177796.61016949153,0.02914324701907145,0.07435823000041471,30389.830508474577,0,0.158628125907187,23.311211340206185,0.4123239581617526,6.040615926080758e-5,NA,0.11509821543201952,28807000,203252000,0.14173046267687403,685880.9523809524
Árneshreppur,2002,A og B-hluti,1793000,62102000,25667000,10490000,8129000,24491000,1343000,2306000,0,3482000,0,-464000,0,60307000,30813000,0,28611000,1552000,NA,NA,10332000,4850000,59,0.9710959389391646,2519000,0.09814158257684966,484932.2033898305,0.4365970245448198,137779.66101694916,175118.64406779662,0.42186925809481035,451739.2,7677260.8,130123.06440677965,-29020000,-1.1306346670822456,0.13566057583667746,758619000,28486291000,0.0266310205143941,177796.61016949153,0.02890406106083543,0.06985623563330347,30389.830508474577,0,0.18895858495344217,19.85373711340206,0.4123239581617526,6.429912867528504e-5,NA,0.08684911600871882,29347000,227144000,0.12919997886803086,698738.0952380953
Ásahreppur,2002,A-hluti,56914000,231175000,67461000,46095000,17459000,49352000,2425000,3104000,0,21213000,0,NA,37712000,174261000,16834000,271000,75000,56914000,-51256000,NA,7457000,20530000,143,0.7538055585595328,20534000,0.3043832732986466,524.4755244755245,0.2747112691569374,122090.90909090909,52146.853146853144,0.15109823310098883,1187313.6,16271686.4,113788.01678321678,40351000,0.5981381835430841,0.31444834793436205,30239000,170719000,0.17712732619099222,322342.65734265733,0.2461944414404672,0.8436578171091446,398000,1.9654651729176815,0.30432397978091047,0.295779597287135,0.4123239581617526,1.6899846182114793e-4,NA,1.1254721271925487,112933000,1368939000,0.08249673652368732,444180.92428711895
Ásahreppur,2002,A og B-hluti,101619000,276843000,69273000,46067000,17459000,48323000,3798000,1226000,0,22176000,0,NA,46045000,175224000,39024000,0,75000,78648000,-64774000,23083000,7457000,23379000,143,0.6329363574300235,24748000,0.3572531866672441,524.4755244755245,0.2748323521077984,122090.90909090909,52146.853146853144,0.1543157502638495,1219204.8,16239795.2,113565.0013986014,62595000,0.9035988047291152,0.3201247239184098,48769000,192146000,0.2538122053022181,322146.85314685316,0.3670636425699765,1.4669351695465767,710622.3776223776,2.6774027973822663,0.33749079728032566,0.4961855355508087,0.4123239581617526,1.735377543430483e-4,NA,1.9823069270233893,126325000,1389374000,0.09092224267907706,496853.4906588004
Bláskógabyggð,2002,A-hluti,256069000,486261000,345810000,192821000,97688000,346817000,9234000,-8082000,0,-9089000,0,-29031000,16239000,230192000,84482000,7770000,7725000,113918000,-4805000,14000000,168189000,2300000,885,0.4733918615722832,8227000,0.02379052080622307,8728.813559322034,0.33626496941574957,110381.9209039548,190044.06779661018,0.48495027637053545,6086256,91601744,103504.79548022599,179357000,0.5186576443711864,-0.026283219108759144,-3282000,1004726000,-0.0032665622269155968,217876.83615819208,0.5266081384277168,0.740490442728666,289343.50282485876,77.98130434782608,0.006651051155258668,0.7416036096139328,0.4123239581617526,8.662984254957851e-4,NA,0.15050602831689674,59826000,5630292000,0.010625736640302138,52675.32467532468
Bláskógabyggð,2002,A og B-hluti,415657000,664967000,374058000,192821000,97688000,381169000,27195000,-27297000,0,-34408000,0,-37373000,17574000,249312000,82735000,0,7817000,124630000,-16950000,40888000,172418000,-615000,885,0.37492386840249214,20084000,0.05369220816023183,8832.76836158192,0.33626496941574957,110381.9209039548,194822.5988700565,0.45234003814580936,6583420.800000001,91104579.2,102943.02734463278,332922000,0.8900277497072646,-0.09198573483256607,-40328000,1051944000,-0.03833664149422403,217876.83615819208,0.6250761315975079,1.1112100262526132,469668.9265536723,100000,-0.0016441300546973998,0.6638449811441868,0.4123239581617526,9.370632903736226e-4,NA,0.25880249900689756,180582000,6410111000,0.02817143104074173,158998.01893022232
