"Mánuður";"Allt íbúðarhúsnæði";"Breyting milli mánaða (%)"
"Janúar 1994";100;""
"Febrúar 1994";99,7;-0,3
"Mars 1994";102;2,3
"Apríl 1994";100,8;-1,2
"Maí 1994";99,8;-1
"Júní 1994";101,9;2,1
"Júlí 1994";101;-0,9
"Ágúst 1994";99,3;-1,7
"September 1994";99;-0,3
"Október 1994";98,6;-0,4
"Nóvember 1994";98,5;-0,1
"Desember 1994";99,4;0,9
"Janúar 1995";96,5;-2,9
"Febrúar 1995";96;-0,5
"Mars 1995";97,4;1,5
"Apríl 1995";98,3;0,9
"Maí 1995";95,4;-3
"Júní 1995";97,2;1,9
"Júlí 1995";95,9;-1,3
"Ágúst 1995";95,8;-0,1
"September 1995";97,2;1,5
"Október 1995";96,5;-0,7
"Nóvember 1995";96,6;0,1
"Desember 1995";93,8;-2,9
"Janúar 1996";94,6;0,9
"Febrúar 1996";95,4;0,8
"Mars 1996";95,2;-0,2
"Apríl 1996";96,1;0,9
"Maí 1996";95,9;-0,2
"Júní 1996";97;1,1
"Júlí 1996";97,8;0,8
"Ágúst 1996";99;1,2
"September 1996";96,2;-2,8
"Október 1996";96,9;0,7
"Nóvember 1996";96;-0,9
"Desember 1996";98,2;2,3
"Janúar 1997";96,2;-2
"Febrúar 1997";97,3;1,1
"Mars 1997";97,3;0
"Apríl 1997";99,6;2,4
"Maí 1997";98,9;-0,7
"Júní 1997";99,1;0,2
"Júlí 1997";98,8;-0,3
"Ágúst 1997";98,6;-0,2
"September 1997";98,1;-0,5
"Október 1997";99,9;1,8
"Nóvember 1997";100;0,1
"Desember 1997";100;0
"Janúar 1998";100,7;0,7
"Febrúar 1998";102,5;1,8
"Mars 1998";103,3;0,8
"Apríl 1998";104,2;0,9
"Maí 1998";104,6;0,4
"Júní 1998";105;0,4
"Júlí 1998";105;0
"Ágúst 1998";105,4;0,4
"September 1998";108,1;2,6
"Október 1998";107,1;-0,9
"Nóvember 1998";106,4;-0,7
"Desember 1998";107,9;1,4
"Janúar 1999";110,8;2,7
"Febrúar 1999";112;1,1
"Mars 1999";115,2;2,9
"Apríl 1999";116,6;1,2
"Maí 1999";119,3;2,3
"Júní 1999";121,6;1,9
"Júlí 1999";125,1;2,9
"Ágúst 1999";126,2;0,9
"September 1999";127,3;0,9
"Október 1999";128,2;0,7
"Nóvember 1999";130;1,4
"Desember 1999";131,8;1,4
"Janúar 2000";132,9;0,8
"Febrúar 2000";139,2;4,7
"Mars 2000";139,2;0
"Apríl 2000";140,1;0,6
"Maí 2000";140,9;0,6
"Júní 2000";142,3;1
"Júlí 2000";143,7;1
"Ágúst 2000";145,4;1,2
"September 2000";146,1;0,5
"Október 2000";145,4;-0,5
"Nóvember 2000";149,1;2,5
"Desember 2000";149,4;0,2
"Janúar 2001";148;-0,9
"Febrúar 2001";153;3,4
"Mars 2001";152,5;-0,3
"Apríl 2001";154,3;1,2
"Maí 2001";149,9;-2,9
"Júní 2001";153;2,1
"Júlí 2001";152,3;-0,5
"Ágúst 2001";149,8;-1,6
"September 2001";150,4;0,4
"Október 2001";151,9;1
"Nóvember 2001";152,8;0,6
"Desember 2001";154;0,8
"Janúar 2002";155;0,6
"Febrúar 2002";156,2;0,8
"Mars 2002";156,6;0,3
"Apríl 2002";154;-1,7
"Maí 2002";157,9;2,5
"Júní 2002";156;-1,2
"Júlí 2002";158;1,3
"Ágúst 2002";158,9;0,6
"September 2002";160,6;1,1
"Október 2002";163,7;1,9
"Nóvember 2002";164,4;0,4
"Desember 2002";165,6;0,7
"Janúar 2003";169;2,1
"Febrúar 2003";170,2;0,7
"Mars 2003";173,5;1,9
"Apríl 2003";171,8;-1
"Maí 2003";175,9;2,4
"Júní 2003";179,1;1,8
"Júlí 2003";180;0,5
"Ágúst 2003";182,6;1,4
"September 2003";180,8;-1
"Október 2003";184;1,8
"Nóvember 2003";185,2;0,7
"Desember 2003";180,6;-2,5
"Janúar 2004";183,1;1,4
"Febrúar 2004";185,9;1,5
"Mars 2004";190,3;2,4
"Apríl 2004";194,9;2,4
"Maí 2004";196;0,6
"Júní 2004";196,8;0,4
"Júlí 2004";202,6;2,9
"Ágúst 2004";200;-1,3
"September 2004";206,7;3,3
"Október 2004";209,3;1,3
"Nóvember 2004";217,3;3,8
"Desember 2004";222,7;2,5
"Janúar 2005";234,1;5,1
"Febrúar 2005";245,7;5
"Mars 2005";251,6;2,4
"Apríl 2005";261,4;3,9
"Maí 2005";271,4;3,8
"Júní 2005";273,2;0,7
"Júlí 2005";282,4;3,4
"Ágúst 2005";280,7;-0,6
"September 2005";283,3;0,9
"Október 2005";285,6;0,8
"Nóvember 2005";294,4;3,1
"Desember 2005";291,7;-0,9
"Janúar 2006";293,3;0,5
"Febrúar 2006";299,1;2
"Mars 2006";304,2;1,7
"Apríl 2006";307,7;1,2
"Maí 2006";307,1;-0,2
"Júní 2006";309;0,6
"Júlí 2006";303,6;-1,7
"Ágúst 2006";311;2,4
"September 2006";313,1;0,7
